Date,Temperature,Predicted_Load
2020-07-17,92,23399.84632179543
2020-07-18,94,23566.448912783173
2020-07-19,95,23566.448912783173
2020-07-20,93,23421.082899183217
2020-07-21,89,23191.335842019595
2020-07-22,90,23178.03681493642
2020-07-23,91,23399.84632179543
