year,month,day,hour,day_of_week,temperature_F,demand_actual
2019,1,1,0,2,62.41,8804
2019,1,1,1,2,62.69,8376
2019,1,1,2,2,62.97,8040
2019,1,1,3,2,63.81,7750
2019,1,1,4,2,64.00,7591
2019,1,1,5,2,64.33,7554
2019,1,1,6,2,64.25,7689
2019,1,1,7,2,64.42,7971
2019,1,1,8,2,64.66,8210
2019,1,1,9,2,63.97,8512
2019,1,1,10,2,64.14,8989
2019,1,1,11,2,64.11,9425
2019,1,1,12,2,64.14,9673
2019,1,1,13,2,64.05,9701
2019,1,1,14,2,64.48,9612
2019,1,1,15,2,65.76,9520
2019,1,1,16,2,66.55,9516
2019,1,1,17,2,67.33,9654
2019,1,1,18,2,67.34,10374
2019,1,1,19,2,66.66,10641
2019,1,1,20,2,66.81,10510
2019,1,1,21,2,65.91,10266
2019,1,1,22,2,62.98,9912
2019,1,1,23,2,61.37,9413
2019,1,2,0,3,59.89,8913
2019,1,2,1,3,58.54,8507
2019,1,2,2,3,57.47,8352
2019,1,2,3,3,55.84,8274
2019,1,2,4,3,55.10,8382
2019,1,2,5,3,53.50,8694
2019,1,2,6,3,52.71,9464
2019,1,2,7,3,52.37,10668
2019,1,2,8,3,51.71,11490
2019,1,2,9,3,50.48,11679
2019,1,2,10,3,50.23,11697
2019,1,2,11,3,49.91,11628
2019,1,2,12,3,49.63,11700
2019,1,2,13,3,49.39,11588
2019,1,2,14,3,50.20,11561
2019,1,2,15,3,52.20,11569
2019,1,2,16,3,53.19,11555
2019,1,2,17,3,54.44,11730
2019,1,2,18,3,55.11,12462
2019,1,2,19,3,55.43,12733
2019,1,2,20,3,55.16,12599
2019,1,2,21,3,54.53,12265
2019,1,2,22,3,52.11,11711
2019,1,2,23,3,51.71,10974
2019,1,3,0,4,51.53,10301
2019,1,3,1,4,51.01,9969
2019,1,3,2,4,50.70,9711
2019,1,3,3,4,50.36,9595
2019,1,3,4,4,49.87,9620
2019,1,3,5,4,49.66,9832
2019,1,3,6,4,49.46,10479
2019,1,3,7,4,49.59,11614
2019,1,3,8,4,49.37,12185
2019,1,3,9,4,48.97,12219
2019,1,3,10,4,49.08,12215
2019,1,3,11,4,49.21,12182
2019,1,3,12,4,49.47,12054
2019,1,3,13,4,49.60,11874
2019,1,3,14,4,50.23,11734
2019,1,3,15,4,51.62,11577
2019,1,3,16,4,52.59,11487
2019,1,3,17,4,54.09,11554
2019,1,3,18,4,54.55,12183
2019,1,3,19,4,54.67,12558
2019,1,3,20,4,54.99,12449
2019,1,3,21,4,55.27,12174
2019,1,3,22,4,53.84,11632
2019,1,3,23,4,52.76,10906
2019,1,4,0,5,52.16,10260
