year,month,day,hour,day_of_week,temperature_F,demand_actual
2019,1,4,1,5,51.88,9760
2019,1,4,2,5,51.57,9477
2019,1,4,3,5,51.32,9348
2019,1,4,4,5,50.95,9342
2019,1,4,5,5,51.08,9550
2019,1,4,6,5,51.12,10192
2019,1,4,7,5,50.92,11242
2019,1,4,8,5,50.65,11916
2019,1,4,9,5,50.72,11985
2019,1,4,10,5,50.70,12095
2019,1,4,11,5,50.67,12311
2019,1,4,12,5,50.56,12388
2019,1,4,13,5,50.30,12330
2019,1,4,14,5,50.51,12247
2019,1,4,15,5,50.87,12137
2019,1,4,16,5,50.62,11999
2019,1,4,17,5,50.71,11992
2019,1,4,18,5,51.01,12293
2019,1,4,19,5,51.19,12333
2019,1,4,20,5,51.63,12054
2019,1,4,21,5,52.77,11741
2019,1,4,22,5,54.66,11359
2019,1,4,23,5,55.42,10891
2019,1,5,0,6,55.98,10392
2019,1,5,1,6,56.88,10012
2019,1,5,2,6,55.73,9835
2019,1,5,3,6,54.43,9775
2019,1,5,4,6,53.95,9868
2019,1,5,5,6,52.05,10034
2019,1,5,6,6,50.43,10411
2019,1,5,7,6,48.17,10963
2019,1,5,8,6,47.03,11471
2019,1,5,9,6,44.90,11788
2019,1,5,10,6,45.01,11622
2019,1,5,11,6,45.09,11263
2019,1,5,12,6,45.27,10904
2019,1,5,13,6,45.64,10488
2019,1,5,14,6,47.76,10160
2019,1,5,15,6,51.41,9914
2019,1,5,16,6,53.71,9870
2019,1,5,17,6,56.22,10101
2019,1,5,18,6,57.90,10793
2019,1,5,19,6,58.78,11426
2019,1,5,20,6,60.22,11439
2019,1,5,21,6,60.44,11376
2019,1,5,22,6,57.11,11165
2019,1,5,23,6,54.42,10845
2019,1,6,0,7,53.15,10440
2019,1,6,1,7,51.78,10127
2019,1,6,2,7,50.72,9957
2019,1,6,3,7,48.56,9921
2019,1,6,4,7,47.76,9988
2019,1,6,5,7,46.68,10155
2019,1,6,6,7,45.02,10514
2019,1,6,7,7,44.00,11039
2019,1,6,8,7,44.07,11618
2019,1,6,9,7,43.84,11962
2019,1,6,10,7,43.12,11470
2019,1,6,11,7,42.78,10792
2019,1,6,12,7,42.12,10277
2019,1,6,13,7,41.96,9912
2019,1,6,14,7,47.48,9709
2019,1,6,15,7,54.45,9534
2019,1,6,16,7,58.72,9515
2019,1,6,17,7,62.53,9756
2019,1,6,18,7,64.03,10481
2019,1,6,19,7,66.13,11208
2019,1,6,20,7,67.07,11210
2019,1,6,21,7,67.31,11175
2019,1,6,22,7,60.85,10823
2019,1,6,23,7,56.68,10308
2019,1,7,0,1,54.03,9795
2019,1,7,1,1,52.04,9450
2019,1,7,2,1,50.09,9298
2019,1,7,3,1,47.83,9288
2019,1,7,4,1,47.80,9451
2019,1,7,5,1,47.35,9863
2019,1,7,6,1,47.30,10835
2019,1,7,7,1,46.70,12438
2019,1,7,8,1,45.62,13012
2019,1,7,9,1,45.49,12946
2019,1,7,10,1,44.41,12598
2019,1,7,11,1,43.95,12347
2019,1,7,12,1,43.69,11978
2019,1,7,13,1,43.65,11535
2019,1,7,14,1,45.41,11278
2019,1,7,15,1,48.37,11072
2019,1,7,16,1,49.93,11014
2019,1,7,17,1,52.55,11297
2019,1,7,18,1,53.93,12181
2019,1,7,19,1,55.32,12909
2019,1,7,20,1,56.18,12917
2019,1,7,21,1,56.28,12613
2019,1,7,22,1,52.78,12065
2019,1,7,23,1,51.31,11387
2019,1,8,0,2,50.40,10671
2019,1,8,1,2,49.73,10165
2019,1,8,2,2,49.52,9841
2019,1,8,3,2,48.86,9696
2019,1,8,4,2,48.82,9706
2019,1,8,5,2,48.65,9994
2019,1,8,6,2,48.55,10794
2019,1,8,7,2,48.42,12134
2019,1,8,8,2,48.42,12798
2019,1,8,9,2,47.45,12601
2019,1,8,10,2,46.52,12282
2019,1,8,11,2,46.56,11901
2019,1,8,12,2,46.44,11387
2019,1,8,13,2,46.96,11010
2019,1,8,14,2,49.44,10883
2019,1,8,15,2,53.61,10678
2019,1,8,16,2,56.68,10666
2019,1,8,17,2,61.02,10828
2019,1,8,18,2,63.44,11447
2019,1,8,19,2,64.82,12046
2019,1,8,20,2,65.50,11991
2019,1,8,21,2,65.57,11733
2019,1,8,22,2,62.49,11200
2019,1,8,23,2,60.62,10506
2019,1,9,0,3,59.34,9790
2019,1,9,1,3,58.62,9411
2019,1,9,2,3,57.93,9291
2019,1,9,3,3,57.01,9358
2019,1,9,4,3,57.02,9595
2019,1,9,5,3,56.08,10082
2019,1,9,6,3,54.87,11042
2019,1,9,7,3,53.41,12692
2019,1,9,8,3,50.71,13525
2019,1,9,9,3,47.87,13350
2019,1,9,10,3,44.89,12742
2019,1,9,11,3,44.18,12282
2019,1,9,12,3,43.36,11972
2019,1,9,13,3,42.83,11638
2019,1,9,14,3,45.82,11462
2019,1,9,15,3,48.16,11247
2019,1,9,16,3,49.90,11378
2019,1,9,17,3,51.37,11726
2019,1,9,18,3,52.02,12755
2019,1,9,19,3,52.60,13704
2019,1,9,20,3,52.64,13863
2019,1,9,21,3,51.76,13881
2019,1,9,22,3,48.47,13579
2019,1,9,23,3,46.21,12962
2019,1,10,0,4,44.08,12440
2019,1,10,1,4,42.44,12179
2019,1,10,2,4,40.43,12152
2019,1,10,3,4,38.55,12289
2019,1,10,4,4,37.72,12590
2019,1,10,5,4,36.16,13130
2019,1,10,6,4,35.19,14154
2019,1,10,7,4,34.24,15755
2019,1,10,8,4,33.06,16415
2019,1,10,9,4,31.34,16147
2019,1,10,10,4,29.81,15259
2019,1,10,11,4,29.16,14435
2019,1,10,12,4,28.75,13717
2019,1,10,13,4,29.03,13145
2019,1,10,14,4,31.92,12786
2019,1,10,15,4,34.76,12476
2019,1,10,16,4,36.35,12440
2019,1,10,17,4,38.44,12863
2019,1,10,18,4,39.67,13939
2019,1,10,19,4,40.89,14993
2019,1,10,20,4,41.90,15267
2019,1,10,21,4,42.19,15313
2019,1,10,22,4,39.19,15040
2019,1,10,23,4,37.39,14477
2019,1,11,0,5,36.20,13943
2019,1,11,1,5,34.51,13710
2019,1,11,2,5,33.31,13680
2019,1,11,3,5,31.49,13799
2019,1,11,4,5,30.38,14031
2019,1,11,5,5,28.58,14553
2019,1,11,6,5,28.24,15585
2019,1,11,7,5,27.57,17124
2019,1,11,8,5,26.33,17701
2019,1,11,9,5,25.60,17386
2019,1,11,10,5,24.84,16229
2019,1,11,11,5,24.79,15031
2019,1,11,12,5,24.68,13757
2019,1,11,13,5,25.74,13172
2019,1,11,14,5,29.52,12638
2019,1,11,15,5,34.54,12142
2019,1,11,16,5,36.62,12051
2019,1,11,17,5,39.38,12394
2019,1,11,18,5,41.03,13254
2019,1,11,19,5,42.93,14154
2019,1,11,20,5,44.37,14316
2019,1,11,21,5,45.26,14255
2019,1,11,22,5,42.08,14218
2019,1,11,23,5,38.79,13651
2019,1,12,0,6,37.02,12997
2019,1,12,1,6,35.21,12430
2019,1,12,2,6,34.49,12111
2019,1,12,3,6,33.69,11929
2019,1,12,4,6,33.64,11857
2019,1,12,5,6,32.63,11959
2019,1,12,6,6,32.76,12262
2019,1,12,7,6,33.51,12734
2019,1,12,8,6,33.81,13292
2019,1,12,9,6,34.35,13828
2019,1,12,10,6,35.13,14071
2019,1,12,11,6,35.15,14166
2019,1,12,12,6,35.34,14060
2019,1,12,13,6,35.24,13819
2019,1,12,14,6,35.86,13638
2019,1,12,15,6,37.26,13527
2019,1,12,16,6,37.83,13585
2019,1,12,17,6,38.40,13778
2019,1,12,18,6,38.43,14287
2019,1,12,19,6,38.33,14510
2019,1,12,20,6,38.25,14397
2019,1,12,21,6,37.89,14265
2019,1,12,22,6,37.14,13976
2019,1,12,23,6,36.41,13640
2019,1,13,0,7,35.75,13246
2019,1,13,1,7,35.16,12977
2019,1,13,2,7,34.50,12836
2019,1,13,3,7,33.96,12771
2019,1,13,4,7,33.59,12742
2019,1,13,5,7,33.23,12771
2019,1,13,6,7,33.06,12917
2019,1,13,7,7,32.58,13166
2019,1,13,8,7,32.50,13544
2019,1,13,9,7,32.20,13919
2019,1,13,10,7,32.76,14124
2019,1,13,11,7,32.61,14047
2019,1,13,12,7,32.54,13954
2019,1,13,13,7,32.68,13896
2019,1,13,14,7,33.02,13724
2019,1,13,15,7,33.68,13595
2019,1,13,16,7,34.39,13568
2019,1,13,17,7,35.37,13763
2019,1,13,18,7,36.10,14371
2019,1,13,19,7,36.61,14727
2019,1,13,20,7,37.00,14569
2019,1,13,21,7,37.11,14329
2019,1,13,22,7,36.38,13808
2019,1,13,23,7,36.30,13066
2019,1,14,0,1,36.20,12486
2019,1,14,1,1,36.13,12137
2019,1,14,2,1,35.89,11963
2019,1,14,3,1,35.55,11942
2019,1,14,4,1,35.53,12075
2019,1,14,5,1,35.11,12418
2019,1,14,6,1,35.15,13311
2019,1,14,7,1,35.31,14668
2019,1,14,8,1,34.96,15417
2019,1,14,9,1,34.53,15384
2019,1,14,10,1,34.06,15040
2019,1,14,11,1,34.05,14512
2019,1,14,12,1,34.11,13999
2019,1,14,13,1,34.10,13559
2019,1,14,14,1,34.57,13245
2019,1,14,15,1,36.35,13022
2019,1,14,16,1,37.61,13012
2019,1,14,17,1,39.53,13229
2019,1,14,18,1,40.88,13987
2019,1,14,19,1,41.70,14625
2019,1,14,20,1,42.13,14578
2019,1,14,21,1,42.31,14338
2019,1,14,22,1,41.01,13784
2019,1,14,23,1,40.06,12978
2019,1,15,0,2,39.43,12266
2019,1,15,1,2,38.92,11829
2019,1,15,2,2,38.33,11630
2019,1,15,3,2,38.07,11579
2019,1,15,4,2,37.52,11683
2019,1,15,5,2,37.35,12000
2019,1,15,6,2,37.38,12894
2019,1,15,7,2,37.49,14285
2019,1,15,8,2,37.17,15017
2019,1,15,9,2,37.05,14790
2019,1,15,10,2,36.53,14401
2019,1,15,11,2,36.58,13960
2019,1,15,12,2,36.38,13482
2019,1,15,13,2,36.14,12946
2019,1,15,14,2,37.61,12559
2019,1,15,15,2,39.95,12192
2019,1,15,16,2,41.32,12070
2019,1,15,17,2,43.06,12301
2019,1,15,18,2,43.91,13181
2019,1,15,19,2,44.47,14241
2019,1,15,20,2,45.35,14562
2019,1,15,21,2,45.90,14647
2019,1,15,22,2,43.75,14425
2019,1,15,23,2,41.86,13929
2019,1,16,0,3,39.36,13542
2019,1,16,1,3,37.45,13398
2019,1,16,2,3,36.01,13453
2019,1,16,3,3,34.53,13645
2019,1,16,4,3,33.96,13945
2019,1,16,5,3,32.96,14427
2019,1,16,6,3,31.95,15478
2019,1,16,7,3,31.10,17091
2019,1,16,8,3,30.08,17737
2019,1,16,9,3,29.26,17223
2019,1,16,10,3,27.94,15855
2019,1,16,11,3,27.56,14472
2019,1,16,12,3,27.60,13355
2019,1,16,13,3,27.86,12559
2019,1,16,14,3,32.77,12047
2019,1,16,15,3,40.28,11701
2019,1,16,16,3,44.64,11554
2019,1,16,17,3,49.33,11812
2019,1,16,18,3,50.73,12613
2019,1,16,19,3,52.22,13629
2019,1,16,20,3,53.18,13821
2019,1,16,21,3,53.35,13892
2019,1,16,22,3,50.01,13594
2019,1,16,23,3,47.08,13028
2019,1,17,0,4,43.60,12539
2019,1,17,1,4,42.03,12381
2019,1,17,2,4,41.03,12407
2019,1,17,3,4,39.19,12589
2019,1,17,4,4,37.89,12853
2019,1,17,5,4,35.68,13351
2019,1,17,6,4,34.78,14395
2019,1,17,7,4,33.55,15849
2019,1,17,8,4,32.82,16457
2019,1,17,9,4,32.35,16202
2019,1,17,10,4,31.84,15761
2019,1,17,11,4,31.76,15026
2019,1,17,12,4,31.77,13987
2019,1,17,13,4,32.21,13219
2019,1,17,14,4,34.29,13135
2019,1,17,15,4,37.73,13170
2019,1,17,16,4,39.48,13308
2019,1,17,17,4,42.80,13581
2019,1,17,18,4,44.63,14206
2019,1,17,19,4,46.13,14585
2019,1,17,20,4,46.27,14458
2019,1,17,21,4,45.87,14194
2019,1,17,22,4,44.09,13589
2019,1,17,23,4,42.79,12789
2019,1,18,0,5,42.10,12056
2019,1,18,1,5,41.91,11593
2019,1,18,2,5,41.79,11327
2019,1,18,3,5,41.71,11221
2019,1,18,4,5,41.61,11210
2019,1,18,5,5,41.77,11479
2019,1,18,6,5,41.26,12270
2019,1,18,7,5,41.21,13540
2019,1,18,8,5,41.35,14193
2019,1,18,9,5,40.96,14058
2019,1,18,10,5,41.34,13809
2019,1,18,11,5,41.10,13493
2019,1,18,12,5,40.93,13026
2019,1,18,13,5,41.09,12537
2019,1,18,14,5,42.37,12132
2019,1,18,15,5,44.98,11707
2019,1,18,16,5,47.41,11420
2019,1,18,17,5,49.72,11533
2019,1,18,18,5,51.26,12167
2019,1,18,19,5,53.01,12795
2019,1,18,20,5,54.01,12759
2019,1,18,21,5,53.77,12632
2019,1,18,22,5,51.22,12333
2019,1,18,23,5,48.91,11782
2019,1,19,0,6,47.61,11188
2019,1,19,1,6,46.72,10669
2019,1,19,2,6,45.53,10395
2019,1,19,3,6,43.96,10220
2019,1,19,4,6,44.29,10193
2019,1,19,5,6,43.90,10326
2019,1,19,6,6,43.83,10583
2019,1,19,7,6,44.19,11023
2019,1,19,8,6,43.81,11596
2019,1,19,9,6,43.90,12049
2019,1,19,10,6,43.77,12393
2019,1,19,11,6,43.76,12594
2019,1,19,12,6,43.93,12544
2019,1,19,13,6,44.16,12415
2019,1,19,14,6,44.82,12207
2019,1,19,15,6,45.86,12075
2019,1,19,16,6,46.55,11960
2019,1,19,17,6,47.77,11932
2019,1,19,18,6,48.13,12258
2019,1,19,19,6,49.12,12331
2019,1,19,20,6,50.06,12009
2019,1,19,21,6,51.38,11685
2019,1,19,22,6,52.38,11215
2019,1,19,23,6,52.80,10612
2019,1,20,0,7,53.47,10034
2019,1,20,1,7,53.68,9520
2019,1,20,2,7,54.37,9186
2019,1,20,3,7,54.33,8967
2019,1,20,4,7,54.66,8857
2019,1,20,5,7,55.02,8983
2019,1,20,6,7,54.64,9292
2019,1,20,7,7,54.72,9818
2019,1,20,8,7,54.25,10554
2019,1,20,9,7,53.47,11281
2019,1,20,10,7,50.55,11639
2019,1,20,11,7,50.66,11580
2019,1,20,12,7,50.64,11313
2019,1,20,13,7,48.86,11176
2019,1,20,14,7,46.88,11084
2019,1,20,15,7,44.63,11038
2019,1,20,16,7,43.01,11265
2019,1,20,17,7,43.12,11855
2019,1,20,18,7,43.54,13040
2019,1,20,19,7,43.70,14293
2019,1,20,20,7,42.96,14747
2019,1,20,21,7,41.36,14905
2019,1,20,22,7,37.44,14806
2019,1,20,23,7,35.08,14633
2019,1,21,0,1,33.59,14428
2019,1,21,1,1,32.28,14324
2019,1,21,2,1,30.92,14390
2019,1,21,3,1,28.87,14627
2019,1,21,4,1,28.11,14989
2019,1,21,5,1,26.65,15571
2019,1,21,6,1,25.49,16549
2019,1,21,7,1,24.59,17775
2019,1,21,8,1,23.40,18536
2019,1,21,9,1,22.14,18591
2019,1,21,10,1,20.18,18036
2019,1,21,11,1,19.95,17285
2019,1,21,12,1,19.42,16473
2019,1,21,13,1,19.45,15668
2019,1,21,14,1,21.47,15054
2019,1,21,15,1,24.56,14538
2019,1,21,16,1,26.18,14347
2019,1,21,17,1,28.83,14635
2019,1,21,18,1,30.63,15623
2019,1,21,19,1,31.90,16832
2019,1,21,20,1,33.20,17120
2019,1,21,21,1,33.96,17164
2019,1,21,22,1,31.75,16892
2019,1,21,23,1,29.55,16345
2019,1,22,0,2,27.67,15821
2019,1,22,1,2,27.01,15608
2019,1,22,2,2,26.35,15616
2019,1,22,3,2,25.26,15725
2019,1,22,4,2,24.84,15931
2019,1,22,5,2,23.73,16384
2019,1,22,6,2,23.30,17303
2019,1,22,7,2,22.83,18762
2019,1,22,8,2,22.50,19287
2019,1,22,9,2,22.25,18763
2019,1,22,10,2,21.41,17625
2019,1,22,11,2,21.28,16449
2019,1,22,12,2,21.07,15502
2019,1,22,13,2,21.95,14719
2019,1,22,14,2,24.59,14069
2019,1,22,15,2,28.94,13626
2019,1,22,16,2,31.35,13619
2019,1,22,17,2,34.01,13961
2019,1,22,18,2,35.87,14849
2019,1,22,19,2,37.52,15745
2019,1,22,20,2,38.71,15775
2019,1,22,21,2,39.74,15526
2019,1,22,22,2,37.82,14928
2019,1,22,23,2,36.22,14069
2019,1,23,0,3,35.25,13293
2019,1,23,1,3,34.67,12797
2019,1,23,2,3,34.78,12585
2019,1,23,3,3,34.45,12505
2019,1,23,4,3,34.79,12572
2019,1,23,5,3,34.20,12900
2019,1,23,6,3,34.26,13746
2019,1,23,7,3,34.03,14988
2019,1,23,8,3,33.20,15674
2019,1,23,9,3,33.16,15661
2019,1,23,10,3,33.61,15594
2019,1,23,11,3,33.26,15404
2019,1,23,12,3,33.42,15078
2019,1,23,13,3,34.64,14524
2019,1,23,14,3,36.41,14008
2019,1,23,15,3,41.51,13496
2019,1,23,16,3,44.33,13278
2019,1,23,17,3,48.15,13321
2019,1,23,18,3,51.87,13796
2019,1,23,19,3,55.84,14178
2019,1,23,20,3,57.08,13914
2019,1,23,21,3,56.59,13516
2019,1,23,22,3,52.50,12834
2019,1,23,23,3,52.43,11902
2019,1,24,0,4,53.59,11040
2019,1,24,1,4,54.76,10380
2019,1,24,2,4,55.45,9958
2019,1,24,3,4,55.82,9684
2019,1,24,4,4,56.71,9559
2019,1,24,5,4,57.56,9674
2019,1,24,6,4,58.49,10326
2019,1,24,7,4,59.13,11505
2019,1,24,8,4,59.87,12165
2019,1,24,9,4,59.71,12059
2019,1,24,10,4,59.13,11986
2019,1,24,11,4,59.53,11849
2019,1,24,12,4,59.58,11527
2019,1,24,13,4,59.40,11237
2019,1,24,14,4,59.03,11106
2019,1,24,15,4,57.23,10967
2019,1,24,16,4,55.76,10955
2019,1,24,17,4,55.01,11249
2019,1,24,18,4,55.35,11965
2019,1,24,19,4,55.52,13120
2019,1,24,20,4,55.26,13502
2019,1,24,21,4,53.95,13609
2019,1,24,22,4,50.04,13434
2019,1,24,23,4,47.25,12989
2019,1,25,0,5,44.86,12602
2019,1,25,1,5,42.55,12456
2019,1,25,2,5,39.95,12533
2019,1,25,3,5,37.34,12676
2019,1,25,4,5,36.43,12939
2019,1,25,5,5,34.31,13470
2019,1,25,6,5,32.63,14488
2019,1,25,7,5,31.27,16134
2019,1,25,8,5,30.65,16907
2019,1,25,9,5,30.53,16477
2019,1,25,10,5,28.85,15305
2019,1,25,11,5,28.81,14239
2019,1,25,12,5,28.72,13436
2019,1,25,13,5,29.42,12716
2019,1,25,14,5,33.95,12316
2019,1,25,15,5,38.60,11922
2019,1,25,16,5,41.16,11751
2019,1,25,17,5,43.52,11978
2019,1,25,18,5,44.99,12780
2019,1,25,19,5,46.18,13844
2019,1,25,20,5,47.03,14191
2019,1,25,21,5,47.48,14394
2019,1,25,22,5,43.84,14405
2019,1,25,23,5,40.97,14169
2019,1,26,0,6,38.54,13913
2019,1,26,1,6,36.69,13753
2019,1,26,2,6,34.06,13802
2019,1,26,3,6,31.26,13960
2019,1,26,4,6,30.03,14218
2019,1,26,5,6,28.81,14638
2019,1,26,6,6,27.94,15213
2019,1,26,7,6,26.92,15922
2019,1,26,8,6,26.43,16563
2019,1,26,9,6,26.44,16626
2019,1,26,10,6,24.27,15527
2019,1,26,11,6,23.95,14228
2019,1,26,12,6,23.79,13161
2019,1,26,13,6,24.42,12293
2019,1,26,14,6,30.23,11621
2019,1,26,15,6,38.12,11181
2019,1,26,16,6,42.03,11027
2019,1,26,17,6,45.59,11240
2019,1,26,18,6,46.93,11983
2019,1,26,19,6,48.04,13039
2019,1,26,20,6,48.63,13344
2019,1,26,21,6,48.98,13526
2019,1,26,22,6,45.36,13513
2019,1,26,23,6,43.12,13295
2019,1,27,0,7,40.12,13039
2019,1,27,1,7,37.38,12875
2019,1,27,2,7,35.76,12854
2019,1,27,3,7,33.05,13006
2019,1,27,4,7,32.72,13181
2019,1,27,5,7,31.16,13495
2019,1,27,6,7,30.35,13955
2019,1,27,7,7,29.17,14568
2019,1,27,8,7,28.37,15191
2019,1,27,9,7,28.74,15408
2019,1,27,10,7,27.71,14629
2019,1,27,11,7,28.09,13586
2019,1,27,12,7,27.64,12589
2019,1,27,13,7,27.92,11958
2019,1,27,14,7,32.13,11629
2019,1,27,15,7,38.99,11568
2019,1,27,16,7,43.00,11598
2019,1,27,17,7,47.61,11834
2019,1,27,18,7,49.67,12424
2019,1,27,19,7,50.21,13162
2019,1,27,20,7,50.27,13272
2019,1,27,21,7,49.15,13158
2019,1,27,22,7,46.58,12808
2019,1,27,23,7,44.52,12252
2019,1,28,0,1,43.97,11766
2019,1,28,1,1,43.03,11496
2019,1,28,2,1,42.02,11435
2019,1,28,3,1,40.15,11558
2019,1,28,4,1,40.30,11842
2019,1,28,5,1,39.77,12385
2019,1,28,6,1,38.96,13432
2019,1,28,7,1,38.46,15069
2019,1,28,8,1,37.65,15918
2019,1,28,9,1,36.78,15674
2019,1,28,10,1,35.70,14663
2019,1,28,11,1,35.56,13611
2019,1,28,12,1,34.97,12776
2019,1,28,13,1,34.78,12160
2019,1,28,14,1,38.24,11835
2019,1,28,15,1,42.93,11579
2019,1,28,16,1,45.56,11490
2019,1,28,17,1,48.58,11700
2019,1,28,18,1,50.27,12390
2019,1,28,19,1,51.21,13458
2019,1,28,20,1,52.11,13660
2019,1,28,21,1,52.20,13546
2019,1,28,22,1,49.64,13039
2019,1,28,23,1,47.59,12268
2019,1,29,0,2,45.18,11536
2019,1,29,1,2,44.07,11060
2019,1,29,2,2,43.33,10860
2019,1,29,3,2,42.37,10776
2019,1,29,4,2,42.13,10827
2019,1,29,5,2,41.79,11124
2019,1,29,6,2,41.84,11905
2019,1,29,7,2,41.38,13218
2019,1,29,8,2,41.01,13861
2019,1,29,9,2,40.88,13719
2019,1,29,10,2,41.71,13525
2019,1,29,11,2,42.13,13373
2019,1,29,12,2,42.44,13215
2019,1,29,13,2,43.07,13134
2019,1,29,14,2,44.89,13223
2019,1,29,15,2,47.24,13169
2019,1,29,16,2,48.19,13074
2019,1,29,17,2,49.05,13163
2019,1,29,18,2,49.00,13702
2019,1,29,19,2,47.73,14786
2019,1,29,20,2,46.00,15173
2019,1,29,21,2,44.25,15366
2019,1,29,22,2,42.09,15173
2019,1,29,23,2,39.97,14738
2019,1,30,0,3,37.34,14334
2019,1,30,1,3,35.74,14213
2019,1,30,2,3,33.73,14305
2019,1,30,3,3,32.15,14503
2019,1,30,4,3,31.12,14882
2019,1,30,5,3,29.31,15565
2019,1,30,6,3,28.24,16729
2019,1,30,7,3,26.86,18342
2019,1,30,8,3,25.31,19009
2019,1,30,9,3,23.89,18232
2019,1,30,10,3,21.99,16911
2019,1,30,11,3,22.86,15914
2019,1,30,12,3,22.74,15034
2019,1,30,13,3,23.65,14390
2019,1,30,14,3,27.45,13853
2019,1,30,15,3,32.71,13462
2019,1,30,16,3,35.57,13398
2019,1,30,17,3,38.91,13698
2019,1,30,18,3,41.03,14643
2019,1,30,19,3,42.57,15877
2019,1,30,20,3,43.21,16176
2019,1,30,21,3,43.08,16212
2019,1,30,22,3,40.03,15915
2019,1,30,23,3,37.49,15341
2019,1,31,0,4,35.32,14884
2019,1,31,1,4,33.51,14707
2019,1,31,2,4,31.60,14767
2019,1,31,3,4,29.02,14931
2019,1,31,4,4,28.05,15216
2019,1,31,5,4,26.25,15764
2019,1,31,6,4,25.44,16812
2019,1,31,7,4,25.24,18374
2019,1,31,8,4,25.10,18889
2019,1,31,9,4,24.52,18375
2019,1,31,10,4,22.73,17167
2019,1,31,11,4,22.47,16035
2019,1,31,12,4,22.33,15049
2019,1,31,13,4,22.76,14221
2019,1,31,14,4,25.77,13631
2019,1,31,15,4,30.42,13191
2019,1,31,16,4,32.39,12983
2019,1,31,17,4,35.41,13190
2019,1,31,18,4,37.17,13958
2019,1,31,19,4,38.89,15168
2019,1,31,20,4,40.58,15615
2019,1,31,21,4,41.48,15722
2019,1,31,22,4,38.96,15407
2019,1,31,23,4,36.14,14818
2019,2,1,0,5,34.63,14305
2019,2,1,1,5,34.23,14086
2019,2,1,2,5,33.05,14049
2019,2,1,3,5,31.38,14147
2019,2,1,4,5,30.61,14316
2019,2,1,5,5,29.41,14735
2019,2,1,6,5,29.00,15672
2019,2,1,7,5,28.31,17160
2019,2,1,8,5,27.82,17582
2019,2,1,9,5,27.25,16875
2019,2,1,10,5,27.90,15548
2019,2,1,11,5,28.08,14181
2019,2,1,12,5,28.15,13200
2019,2,1,13,5,27.93,12567
2019,2,1,14,5,33.91,12167
2019,2,1,15,5,41.47,11814
2019,2,1,16,5,45.55,11606
2019,2,1,17,5,49.10,11684
2019,2,1,18,5,50.77,12117
2019,2,1,19,5,52.74,12799
2019,2,1,20,5,54.08,12814
2019,2,1,21,5,54.30,12716
2019,2,1,22,5,51.94,12428
2019,2,1,23,5,49.43,12048
2019,2,2,0,6,47.83,11576
2019,2,2,1,6,46.35,11248
2019,2,2,2,6,44.64,11198
2019,2,2,3,6,42.65,11359
2019,2,2,4,6,41.77,11615
2019,2,2,5,6,39.48,12030
