,value
2010-01-01,41.91416666666667
2010-01-02,29.525833333333335
2010-01-03,24.52333333333333
2010-01-04,25.95375
2010-01-05,27.042916666666667
2010-01-06,28.91
2010-01-07,31.03833333333333
2010-01-08,31.53333333333333
2010-01-09,24.80541666666667
2010-01-10,27.05541666666667
2010-01-11,27.9325
2010-01-12,35.0025
2010-01-13,30.9025
2010-01-14,35.80083333333334
2010-01-15,41.217083333333335
2010-01-16,41.770833333333336
2010-01-17,49.72
2010-01-18,51.231249999999996
2010-01-19,48.284166666666664
2010-01-20,50.901250000000005
2010-01-21,43.30833333333334
2010-01-22,38.10375
2010-01-23,41.12625
2010-01-24,45.56
2010-01-25,56.81833333333333
2010-01-26,42.160000000000004
2010-01-27,36.94375
2010-01-28,42.419583333333335
2010-01-29,40.03541666666667
2010-01-30,27.130416666666665
2010-01-31,25.13625
2010-02-01,30.874166666666667
2010-02-02,35.78125
2010-02-03,38.785000000000004
2010-02-04,36.90125
2010-02-05,35.71375
2010-02-06,36.65541666666667
2010-02-07,35.538333333333334
2010-02-08,35.53333333333333
2010-02-09,38.36875
2010-02-10,34.64958333333333
2010-02-11,34.0075
2010-02-12,32.565000000000005
2010-02-13,31.88875
2010-02-14,32.544583333333335
2010-02-15,38.753750000000004
2010-02-16,32.69375
2010-02-17,32.05166666666667
2010-02-18,35.9925
2010-02-19,39.803333333333335
2010-02-20,41.98625
2010-02-21,45.19708333333333
2010-02-22,47.41416666666667
2010-02-23,47.58416666666667
2010-02-24,41.687083333333334
2010-02-25,34.469166666666666
2010-02-26,34.87
2010-02-27,38.35666666666666
2010-02-28,39.85958333333333
2010-03-01,39.38375
2010-03-02,37.38708333333333
2010-03-03,37.32083333333333
2010-03-04,39.77333333333333
2010-03-05,39.01625
2010-03-06,41.456250000000004
2010-03-07,43.055416666666666
2010-03-08,49.150416666666665
2010-03-09,52.88916666666666
2010-03-10,56.07583333333333
2010-03-11,53.55708333333333
2010-03-12,59.05375
2010-03-13,55.418749999999996
2010-03-14,49.4925
2010-03-15,50.99166666666667
2010-03-16,49.95166666666666
2010-03-17,49.58833333333334
2010-03-18,53.959583333333335
2010-03-19,56.46791666666667
2010-03-20,58.37125
2010-03-21,57.67583333333334
2010-03-22,53.66583333333333
2010-03-23,47.82958333333334
2010-03-24,55.3675
2010-03-25,58.12416666666667
2010-03-26,57.70708333333334
2010-03-27,46.102916666666665
2010-03-28,50.932500000000005
2010-03-29,56.614583333333336
2010-03-30,56.56166666666667
2010-03-31,58.02291666666667
2010-04-01,63.986250000000005
2010-04-02,68.40875
2010-04-03,67.22208333333333
2010-04-04,68.40291666666667
2010-04-05,71.22625000000001
2010-04-06,75.02708333333334
2010-04-07,74.1675
2010-04-08,69.05083333333333
2010-04-09,58.317499999999995
2010-04-10,55.72333333333333
2010-04-11,58.23083333333333
2010-04-12,62.259166666666665
2010-04-13,63.85916666666666
2010-04-14,57.951249999999995
2010-04-15,58.2825
2010-04-16,68.11416666666666
2010-04-17,69.965
2010-04-18,58.73
2010-04-19,55.73
2010-04-20,58.09291666666667
2010-04-21,59.36000000000001
2010-04-22,60.286249999999995
2010-04-23,64.09791666666666
2010-04-24,65.66708333333334
2010-04-25,67.74416666666666
2010-04-26,67.36666666666666
2010-04-27,59.18625
2010-04-28,54.58708333333333
2010-04-29,57.048750000000005
2010-04-30,65.03958333333334
2010-05-01,71.08875
2010-05-02,77.69166666666666
2010-05-03,75.11041666666667
2010-05-04,73.12333333333333
2010-05-05,72.00916666666667
2010-05-06,75.39291666666666
2010-05-07,75.11208333333333
2010-05-08,77.67791666666666
2010-05-09,61.52708333333334
2010-05-10,57.25791666666667
2010-05-11,60.12916666666666
2010-05-12,69.69125
2010-05-13,73.60791666666667
2010-05-14,76.27208333333333
2010-05-15,77.14791666666666
2010-05-16,73.8575
2010-05-17,68.15333333333334
2010-05-18,62.82125
2010-05-19,65.97333333333333
2010-05-20,67.79541666666667
2010-05-21,67.97458333333334
2010-05-22,70.36083333333333
2010-05-23,72.89375
2010-05-24,69.91333333333334
2010-05-25,69.99083333333333
2010-05-26,72.04708333333333
2010-05-27,75.1675
2010-05-28,75.80833333333334
2010-05-29,71.85583333333334
2010-05-30,74.64083333333333
2010-05-31,73.40333333333334
2010-06-01,74.18958333333333
2010-06-02,75.69791666666667
2010-06-03,75.00875
2010-06-04,77.6675
2010-06-05,79.29208333333334
2010-06-06,81.16541666666667
2010-06-07,75.55958333333334
2010-06-08,72.65083333333332
2010-06-09,75.48416666666667
2010-06-10,80.01375
2010-06-11,78.90625
2010-06-12,80.17875
2010-06-13,82.03125
2010-06-14,81.20708333333333
2010-06-15,80.71625
2010-06-16,79.07166666666667
2010-06-17,80.19291666666668
2010-06-18,78.63166666666667
2010-06-19,79.34041666666667
2010-06-20,82.14125
2010-06-21,82.33166666666666
2010-06-22,82.97583333333334
2010-06-23,84.37375
2010-06-24,84.97958333333334
2010-06-25,83.4275
2010-06-26,82.7625
2010-06-27,83.6025
2010-06-28,84.38208333333334
2010-06-29,83.15166666666666
2010-06-30,77.56541666666666
2010-07-01,75.74249999999999
2010-07-02,73.465
2010-07-03,73.25166666666667
2010-07-04,75.8275
2010-07-05,78.56916666666667
2010-07-06,81.07166666666667
2010-07-07,84.62
2010-07-08,86.35083333333334
2010-07-09,83.60000000000001
2010-07-10,80.78500000000001
2010-07-11,81.70916666666666
2010-07-12,78.92208333333333
2010-07-13,78.80375
2010-07-14,80.19333333333334
2010-07-15,81.8975
2010-07-16,82.76958333333333
2010-07-17,79.87041666666667
2010-07-18,79.46249999999999
2010-07-19,80.35291666666667
2010-07-20,83.21583333333334
2010-07-21,83.89333333333333
2010-07-22,85.04208333333334
2010-07-23,86.37291666666665
2010-07-24,87.30333333333334
2010-07-25,87.73541666666667
2010-07-26,85.18041666666666
2010-07-27,79.56208333333333
2010-07-28,79.09583333333333
2010-07-29,83.84416666666667
2010-07-30,82.60541666666667
2010-07-31,76.41583333333334
2010-08-01,71.44916666666667
2010-08-02,75.185
2010-08-03,79.68625
2010-08-04,82.62416666666667
2010-08-05,83.71333333333332
2010-08-06,79.29791666666667
2010-08-07,79.07375
2010-08-08,79.6925
2010-08-09,81.95041666666667
2010-08-10,83.39625
2010-08-11,85.18791666666667
2010-08-12,84.32875
2010-08-13,83.43583333333333
2010-08-14,80.5425
2010-08-15,79.78583333333333
2010-08-16,80.50708333333334
2010-08-17,80.73833333333333
2010-08-18,81.29541666666667
2010-08-19,78.4825
2010-08-20,79.46374999999999
2010-08-21,79.12125
2010-08-22,81.26916666666666
2010-08-23,80.4525
2010-08-24,75.90916666666666
2010-08-25,73.96374999999999
2010-08-26,77.41625
2010-08-27,77.48458333333333
2010-08-28,78.02791666666667
2010-08-29,78.08416666666666
2010-08-30,78.81416666666667
2010-08-31,79.68875
2010-09-01,79.65125
2010-09-02,79.09
2010-09-03,79.77833333333334
2010-09-04,77.35166666666667
2010-09-05,70.32166666666667
2010-09-06,72.53
2010-09-07,76.78916666666667
2010-09-08,77.47833333333334
2010-09-09,75.8575
2010-09-10,73.9775
2010-09-11,71.47208333333333
2010-09-12,74.30208333333333
2010-09-13,72.64625
2010-09-14,74.48041666666667
2010-09-15,76.55208333333333
2010-09-16,76.89583333333333
2010-09-17,79.06458333333333
2010-09-18,76.03041666666667
2010-09-19,74.31833333333334
2010-09-20,77.60375
2010-09-21,77.08958333333334
2010-09-22,78.64708333333333
2010-09-23,79.50541666666666
2010-09-24,79.49958333333333
2010-09-25,78.02083333333333
2010-09-26,72.39833333333333
2010-09-27,67.3925
2010-09-28,67.84708333333333
2010-09-29,63.431666666666665
2010-09-30,69.09625
2010-10-01,68.89375
2010-10-02,61.651666666666664
2010-10-03,59.46125
2010-10-04,57.0375
2010-10-05,55.598749999999995
2010-10-06,55.28583333333333
2010-10-07,61.95916666666667
2010-10-08,64.31166666666667
2010-10-09,63.62291666666667
2010-10-10,66.46791666666667
2010-10-11,68.63625
2010-10-12,68.80624999999999
2010-10-13,67.78541666666666
2010-10-14,63.61166666666667
2010-10-15,56.163333333333334
2010-10-16,56.17458333333334
2010-10-17,57.50208333333333
2010-10-18,60.99583333333334
2010-10-19,63.22541666666667
2010-10-20,61.22208333333333
2010-10-21,60.134166666666665
2010-10-22,57.71458333333334
2010-10-23,54.66791666666666
2010-10-24,60.16916666666666
2010-10-25,65.6375
2010-10-26,68.865
2010-10-27,75.10333333333334
2010-10-28,72.09583333333333
2010-10-29,58.01541666666666
2010-10-30,50.524166666666666
2010-10-31,58.208333333333336
2010-11-01,54.57458333333333
2010-11-02,51.01833333333334
2010-11-03,49.375416666666666
2010-11-04,51.49875
2010-11-05,47.400416666666665
2010-11-06,43.96375
2010-11-07,41.12166666666666
2010-11-08,47.31041666666667
2010-11-09,56.03916666666667
2010-11-10,55.056666666666665
2010-11-11,53.145833333333336
2010-11-12,50.46416666666667
2010-11-13,47.70666666666667
2010-11-14,49.17249999999999
2010-11-15,52.18291666666667
2010-11-16,57.33791666666667
2010-11-17,56.82458333333333
2010-11-18,46.53916666666667
2010-11-19,46.40708333333333
2010-11-20,49.75583333333333
2010-11-21,51.397083333333335
2010-11-22,54.788333333333334
2010-11-23,60.11416666666667
2010-11-24,55.20666666666667
2010-11-25,50.90166666666667
2010-11-26,57.62
2010-11-27,45.221666666666664
2010-11-28,38.59583333333333
2010-11-29,40.04291666666666
2010-11-30,53.70416666666667
2010-12-01,53.63791666666666
2010-12-02,36.00333333333334
2010-12-03,38.14333333333333
2010-12-04,36.68625
2010-12-05,35.89791666666667
2010-12-06,31.109583333333333
2010-12-07,26.989166666666666
2010-12-08,26.434166666666666
2010-12-09,30.51
2010-12-10,33.571666666666665
2010-12-11,35.996249999999996
2010-12-12,39.714166666666664
2010-12-13,29.362916666666667
2010-12-14,24.12
2010-12-15,24.297083333333333
2010-12-16,32.26083333333333
2010-12-17,40.737500000000004
2010-12-18,34.406666666666666
2010-12-19,35.01083333333333
2010-12-20,31.85625
2010-12-21,35.845
2010-12-22,44.923750000000005
2010-12-23,38.745
2010-12-24,33.7675
2010-12-25,34.82791666666667
2010-12-26,31.252916666666668
2010-12-27,29.09625
2010-12-28,31.25708333333333
2010-12-29,34.34458333333333
2010-12-30,34.443333333333335
2010-12-31,40.73083333333333
2011-01-01,49.43083333333333
2011-01-02,56.22333333333333
2011-01-03,36.07375
2011-01-04,35.29541666666667
2011-01-05,37.597500000000004
2011-01-06,39.623333333333335
2011-01-07,37.288333333333334
2011-01-08,34.95291666666667
2011-01-09,25.77416666666667
2011-01-10,28.172916666666666
2011-01-11,28.196250000000003
2011-01-12,29.13416666666667
2011-01-13,28.47791666666667
2011-01-14,27.55541666666667
2011-01-15,33.43833333333333
2011-01-16,39.44916666666666
2011-01-17,36.92916666666667
2011-01-18,37.48166666666666
2011-01-19,46.30875
2011-01-20,40.30458333333333
2011-01-21,39.63375
2011-01-22,29.368333333333336
2011-01-23,29.8625
2011-01-24,32.905833333333334
2011-01-25,36.07125
2011-01-26,40.13166666666667
2011-01-27,36.822916666666664
2011-01-28,38.833333333333336
2011-01-29,40.97833333333333
2011-01-30,49.7575
2011-01-31,44.01958333333334
2011-02-01,40.04208333333333
2011-02-02,53.20291666666666
2011-02-03,37.900416666666665
2011-02-04,34.974583333333335
2011-02-05,39.25541666666667
2011-02-06,40.495
2011-02-07,39.31375
2011-02-08,41.39833333333333
2011-02-09,32.675000000000004
2011-02-10,36.94916666666666
2011-02-11,33.96375
2011-02-12,38.619166666666665
2011-02-13,42.64833333333333
2011-02-14,53.359166666666674
2011-02-15,48.87583333333333
2011-02-16,45.98916666666667
2011-02-17,52.275
2011-02-18,61.91416666666667
2011-02-19,59.88291666666667
2011-02-20,50.00208333333333
2011-02-21,57.615833333333335
2011-02-22,58.69
2011-02-23,43.58625
2011-02-24,47.21041666666667
2011-02-25,59.154583333333335
2011-02-26,46.08625
2011-02-27,56.78125
2011-02-28,66.54375
2011-03-01,52.6475
2011-03-02,47.000416666666666
2011-03-03,49.324999999999996
2011-03-04,43.54
2011-03-05,52.57125
2011-03-06,55.55416666666667
2011-03-07,42.99041666666667
2011-03-08,44.427083333333336
2011-03-09,48.336666666666666
2011-03-10,54.294999999999995
2011-03-11,43.89833333333333
2011-03-12,46.62583333333333
2011-03-13,60.93166666666667
2011-03-14,54.838750000000005
2011-03-15,48.74583333333334
